NO.,Sample Date,DMA(Activity),PV(Pore Volume),SA(Surface Area),ABD,0-20%,0-40%,0-80%,0-105%,0-149%,APS,Fe(Iron),Na(sodium),Nickel,Vanadium,Calcium,Carbon
1,23-05-2012,75,0.33,149,0.86,2.3,16,63.1,82.2,97.2,67.8,3910,650,<100,240,350,0.03
2,24-05-2012,78,0.33,148,0.85,1.1,12.1,60.9,81.4,97.2,70.2,3870,670,<100,250,370,0.04
3,05-06-2012,63,0.34,142,0.84,2.1,14,62.3,82.2,97.4,68.9,3880,560,<100,240,290,0.04
4,07-06-2012,62,0.33,180,0.83,0,5.9,51.8,75,94.4,78.4,4760,440,<100,240,250,0.1
5,01-08-2012,80,,142,,17.6,38.4,75.9,89,98.6,50.8,4490,1050,<100,320,310,0.04
6,13-08-2012,80,0.33,151,0.88,10.3,28.4,68.5,84.4,97.2,60.2,4460,1180,140,390,300,0.02
7,16-08-2012,77,0.32,148,0.9,7.8,24.2,65.3,82.4,96.5,64,4500,1180,<100,370,240,0.02
8,23-08-2012,71,0.32,152,0.91,3.7,15.2,58.1,77.9,95.1,72,4670,1210,<100,410,210,0.02
9,27-08-2012,75,0.33,146,0.9,7.1,24.3,65.6,82.7,96.7,63.7,4640,1220,<100,400,330,0.01
10,07-09-2012,77,0.33,143,0.93,8.7,32,70.7,85.2,97.1,56.5,4630,1220,<100,390,290,0.04
11,10-09-2012,77,0.34,146,0.89,1.8,8.7,49.1,71.1,92.1,80.8,4910,1230,<100,420,170,0.04
12,15-09-2012,74,0.33,146,0.88,1.6,9.8,53.9,75.5,94.4,76.4,4880,1200,<100,410,130,0.03
13,20-09-2012,78,0.34,154,0.9,1.4,5.8,50.4,74.8,95,79.7,4830,1220,<100,410,110,0.04
14,26-09-2012,78,0.34,159,0.86,3.1,15,58.3,78.2,95.3,71.9,4780,1430,120,480,180,0.04
15,01-10-2012,76,0.34,144,0.9,0,2.3,43.4,69.1,92.6,85.7,4810,1350,110,480,<100,0.02
16,10-10-2012,75,0.33,146,0.88,1.5,9.5,52.7,74.3,93.8,77.4,4770,1350,160,540,120,0.02
17,12-11-2012,72,0.34,156,0.88,2.2,14.7,60.3,80.2,96.5,70.3,4750,1340,110,490,<100,0.01
18,15-11-2012,70,0.34,154,0.88,2.3,11,53.5,75,94.2,76.6,4800,1300,110,500,<100,0.01
19,29-11-2012,77,0.33,149,0.91,3.3,19.9,61,78.9,94.8,68.3,4710,1190,<100,460,<100,0.02
20,06-12-2012,77,0.33,153,0.9,0,6.6,51.5,74.2,94.2,78.7,4770,1140,<100,450,<100,0.01
21,13-12-2012,77,0.33,153,0.9,1.2,10,55.8,77.4,95.6,74.7,4710,1150,<100,440,<100,0.03
22,19-12-2012,75,0.32,153,0.91,2.5,13.3,55.1,75.7,94.2,75,4730,1170,<100,430,160,0.01
23,20-12-2012,77,0.31,155,0.91,1.7,12.2,57.7,78.4,95.8,72.8,4730,1160,<100,430,150,0.01
24,02-01-2013,76,0.31,152,0.91,1.4,13.6,58.5,78.5,95.5,71.8,4720,1080,<100,460,<100,0.02
25,10-01-2013,78,0.3,154,0.9,2,12.1,55.5,76.2,94.4,74.7,4760,980,<100,390,<100,0.02
26,17-01-2013,79,0.3,155,0.91,1.3,12.6,59.5,79.9,96.4,71.3,4720,1010,<100,390,100,0.02
